property_id,immovlan_id,url,source,scrape_date,date_posted,html_path,property_type,category,transaction_type,new_construction,price,vat,cadastral_income,street,house_number,postal_code,locality,province,region,latitude,longitude,bedrooms,livable_surface,number_of_kitchens,kitchen_equipment,bathrooms,showers,toilets,floor,build_year,currently_leased,furnished,building_state,heating_type,glazing_type,heat_pump,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,demarcated_flooding_area,number_of_floors,availability,total_land_surface,living_room_surface,preemption_right,access_for_disabled,bedroom_1_surface,bedroom_2_surface,gas_connection,epc_validity_date,sewer_connection,epc_reference,co2_emission,entry_phone,urbanism_affectation,attic,kitchen_surface,bedroom_3_surface,yearly_primary_energy_consumption,frontage_width,building_permission_granted,kitchen_type,alarm,terrace_orientation,planning_permission_granted,bathroom_surface,p_score,g_score,terrain_width_at_roadside,security_door,protected_heritage,bedroom_4_surface,buildable_surface,veranda,rain_water_tank,floor_heating,as_build_certificate,diningroom,ground_depth,diningroom_surface,fireplace,electric_charging_station,hammam_sauna_jacuzzi,water_sensitive_area,domotica,cellar_surface,wash_room,solar_thermic_panels,bedroom_5_surface,gasoil_tank_certificate,low_energy_house,garage_surface,office_surface,attic_surface,individual_water_meter,water_softener,motorized_garage_door,bike_storage,electronic_key,dressing,electrical_certificate_validity,dressing_surface,opportunity_for_professional,bi_hourly_counter,adaptations_for_elderlies,total_surface,individual_electric_meter,level_e,veranda_surface,service_apartment,individual_gas_meter,barbecue,electricity_connection,gasoil_tank_certificate_validity,urbanism_infraction_description,nursery_nearest_walk_m,preschool_nearest_walk_m,elementary_school_nearest_walk_m,high_school_nearest_walk_m,bus_stop_nearest_walk_m,tram_stop_nearest_walk_m,train_station_nearest_walk_m,train_station_nearest_drive_m,motorway_nearest_drive_m,airport_nearest_drive_m,charging_station_nearest_drive_m,supermarket_nearest_walk_m,supermarket_count,car_sharing_nearest_walk_m,bike_sharing_nearest_walk_m
VBE06956,10564393,https://immovlan.be/en/detail/duplex/for-sale/1150/sint-pieters-woluwe/vbe06956,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe06956.html,duplex,appartment,for-sale,0,399000,0,,,,1150,Sint-Pieters-Woluwe,Brussels,Brussels,50.8381484,4.4329851,2,108,,,2,,1,3,,,0,Normal,Gas,Double glass,,,,626,BrusselsG,,2,,0,,,1,13,,,,,,,0,1,,(information not available),a demarcated flooding area,4,,,20,,1,16,24,,,,,106,0,,,9,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,283,283,343,370,226,2500,3200,3400,8900,2100,215,3,497,178
VBE06974,10564423,https://immovlan.be/en/detail/residence/for-sale/6880/auby-sur-semois/vbe06974,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe06974.html,house,house,for-sale,0,269900,0,474,Le Terme,15,6880,Auby-sur-Semois,Luxembourg,Wallonia,49.8150768,5.1848964,7,337,,Partially equipped,2,2,3,,1850,0,0,To renovate,,Double glass,,,,348,WalloniaE,0,4,South,1,20,,1,70,,1,1,1,3,1,0,0,1,no flooding area,(information not available),,Immediately,2342,18,0,1,16,12,,11/06/2034,1,,87,,,1,11,9,117214,14,0,Kitchenette,,West,0,7,,,14,,,15,,1,,,,1,,22,,,,,,,,,15,,,,,,,,,,,,06/04/2024,,,,,,,,,,,,,,,3800,299,299,8700,130,,8200,8700,,,9200,7000,3,,
VBE06978,10564434,https://immovlan.be/en/detail/residence/for-sale/6200/chatelet/vbe06978,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe06978.html,house,house,for-sale,0,195000,0,,Rue Aubry,73,6200,Ch&#xE2;telet,Hainaut,Wallonia,50.4011997,4.523197,3,105,,,1,,1,,,0,0,,Not specified,,,,,275,WalloniaD,,,,1,,,1,,,,,,,,,0,,(information not available),(information not available),2,On contract,,15,,,,,,02/04/2036,,2026040204879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,575,575,516,272,,1400,1700,6600,10600,1500,385,3,6400,
VBE06999,10564466,https://immovlan.be/en/detail/residence/for-sale/4357/limont/vbe06999,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe06999.html,house,house,for-sale,0,320000,0,456,Rue de Remicourt,44,4357,Limont,Liege,Wallonia,50.6661779,5.3116385,4,,,,,,,,,0,,,,,,,,377,WalloniaE,,,,1,,,0,,,1,,,,,,,,(information not available),(information not available),,Negotiable,,,0,,,,,,,20260212001063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,808,1700,6200,654,,1600,1600,9100,13400,14700,2000,3,,
VBE07004,10564473,https://immovlan.be/en/detail/residence/for-sale/1370/jodoigne-souveraine/vbe07004,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07004.html,house,house,for-sale,0,475000,0,996,Rue du Pont &#xE0; la Cambe,59,1370,Jodoigne-Souveraine,Walloon Brabant,Wallonia,50.7023806,4.8482784,3,150,,,1,,2,,2016,0,0,,Gas,,,1,,37,WalloniaDoubleA,1,3,South-west,1,,,1,,,1,1,,4,,,0,1,(information not available),(information not available),,On contract,1878,16,,,,,1,21/03/2027,,20170321505343,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,312,1000,1000,2900,188,,,,10300,,3400,2100,3,,
VBE07022,10564493,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbe07022,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07022.html,flat,appartment,for-sale,0,245000,0,1,Avenue de l&#x27;Exposition,404,1090,Jette,Brussels,Brussels,50.8893881,4.3167947,2,,,,1,,1,10,,0,,,,,,0,,103,BrusselsC,0,,,0,,,0,,,1,,,,,,,,(information not available),(information not available),,On contract,,,,,,,,,,20251204-00000736433-01-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,633,861,995,40,527,1900,1600,794,15600,535,194,3,163,23
VBE07031,10564525,https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbe07031,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07031.html,house,house,for-sale,0,390000,0,698,Rue du Levant,12,5300,Andenne,Namur,Wallonia,50.5105595,5.0846244,2,80,,,1,,,,2009,,0,Normal,Gas,Double glass,,,,149,WalloniaB,0,,,1,1169,,1,14,,1,1,,,0,,0,,no flooding area,(information not available),2,,1226,,,0,,,,12/10/2032,,20221012029152,28,,,1,,,21437,,,,,,1,7,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1400,1800,1600,1800,322,,2100,2100,3600,,2800,913,3,,
VBE07057,10564557,https://immovlan.be/en/detail/residence/for-sale/7900/leuze-en-hainaut/vbe07057,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07057.html,house,house,for-sale,0,110000,0,451,Carcauderie,11,7900,Leuze-en-Hainaut,Hainaut,Wallonia,50.60219053,3.61815173,1,65,,,1,,1,,,0,0,Normal,Gas,,,,,245,WalloniaC,1,2,North,0,,,0,,,,,,,,,0,1,(information not available),(information not available),,,90,28,,,,,1,30/01/2036,,20260130017260,45,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,16,574,574,574,294,,355,589,6500,,7900,308,3,,
VBE07058,10564558,https://immovlan.be/en/detail/residence/for-sale/7941/attre/vbe07058,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07058.html,house,house,for-sale,0,250000,0,,Avenue Saint Martin,67,7941,Attre,Hainaut,Wallonia,50.6068515,3.83833359,4,175,,,2,,2,,,0,0,Normal,Gas,,,,,380,WalloniaE,1,3,West,1,,,0,,,1,1,,,,,0,1,(information not available),(information not available),,,,35,,,,,1,05/03/2036,,20260305022948,82,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,2000,2000,2000,166,,876,833,8300,,3200,2700,3,,
VBE07060,10564561,https://immovlan.be/en/detail/residence/for-sale/7522/blandain/vbe07060,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07060.html,house,house,for-sale,0,170000,0,121,,,7522,Blandain,Hainaut,Wallonia,50.6250532,3.3037827,1,100,,,1,,1,,,0,0,,Fuel oil,,,,,308,WalloniaD,0,3,,1,,,1,,,1,1,,,,,0,,(information not available),(information not available),1,,574,,,,,,,06/04/2036,,20260406008746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,95,95,2900,186,,4000,5000,3000,27600,10900,3400,3,7000,
